|||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez||Total|
||||||||||||||||Total|
1|Receita|| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 99.710| 1.196.520||
2|Despesas||-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-99.710|-1.196.520||
||Saldo|0|0|0|0|0|0|0|0|0|0|0|0|||
|||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez||Total|
||||||||||||||||Total|
101|Proventos|| 9.710| 9.710| 9.710| 9.710| 9.710| 9.710| 9.710| 9.710| 21.751| 9.710| 9.710| 9.710| 128.561||
201|Saques, cheques e débitos||-1.645|-1.645|-1.645|-1.645|-1.645|-1.645|-1.645|-1.645|-2.732|-1.645|-1.645|-1.645|-20.827||
202|Taxas e anuidades||-90|-90|-90|-90|-90|-90|-90|-90|-108|-90|-90|-90|-1.098||
203|Trabalho||-435|-435|-435|-435|-435|-435|-435|-435|-391|-435|-435|-435|-5.176||
204|Veiculos||-920|-920|-920|-920|-920|-920|-920|-920|-488|-920|-920|-920|-10.608||
205|Apartamento||-3.267|-3.267|-3.267|-3.267|-3.267|-3.267|-3.267|-3.267|-2.479|-3.267|-3.267|-3.267|-38.416||
207|Viagens e turismo||-823|-823|-823|-823|-823|-823|-823|-823|-1.858|-823|-823|-823|-10.911||
208|Computadores e redes||-85|-85|-85|-85|-85|-85|-85|-85|-85|-85|-85|-85|-1.020||
209|Refeições||-853|-853|-853|-853|-853|-853|-853|-853|-701|-853|-853|-853|-10.084||
210|Pessoal||-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-11.001|-1.000|-1.000|-1.000|-22.001||
211|Investimentos||-593|-593|-593|-593|-593|-593|-593|-593|-8.593|-593|-593|-593|-15.116||
212|Apostas Loterias||-252|-252|-252|-252|-252|-252|-252|-252|-360|-252|-252|-252|-3.132||
||Saldo|-253|-253|-253|-253|-253|-253|-253|-253|-7045|-253|-253|-253|||
|||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez||Total|
||||||||||||||||Total|
1010001|Benefício INSS|| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 3.401| 40.812||
1010005|Recebimento de TED|| 6.308| 6.308| 6.308| 6.308| 6.308| 6.308| 6.308| 6.308| 18.350| 6.308| 6.308| 6.308| 87.738||
2010002|Saques com cartao||-760|-760|-760|-760|-760|-760|-760|-760|-1.290|-760|-760|-760|-9.650||
2010004|Compra com cartao||-136|-136|-136|-136|-136|-136|-136|-136|-258|-136|-136|-136|-1.754||
2010005|Pagamento de Boletos||-645|-645|-645|-645|-645|-645|-645|-645|-1.009|-645|-645|-645|-8.104||
2010006|Emissão de DOC||-105|-105|-105|-105|-105|-105|-105|-105|-176|-105|-105|-105|-1.331||
2020002|Juros||||||||||-18||||-18||
2020003|Tarifas e serviços BB||-90|-90|-90|-90|-90|-90|-90|-90|-90|-90|-90|-90|-1.080||
2030002|Impostos||-435|-435|-435|-435|-435|-435|-435|-435|-391|-435|-435|-435|-5.176||
2040001|Gasolina e alcool||-196|-196|-196|-196|-196|-196|-196|-196|-189|-196|-196|-196|-2.345||
2040002|Revisão||-203|-203|-203|-203|-203|-203|-203|-203|-203|-203|-203|-203|-2.436||
2040003|Seguro||-308|-308|-308|-308|-308|-308|-308|-308||-308|-308|-308|-3.388||
2040005|Pedagio||-214|-214|-214|-214|-214|-214|-214|-214|-96|-214|-214|-214|-2.450||
2050001|Mercados||-713|-713|-713|-713|-713|-713|-713|-713|-1.391|-713|-713|-713|-9.234||
2050002|Reformas e serviços||-2.423|-2.423|-2.423|-2.423|-2.423|-2.423|-2.423|-2.423|-1.012|-2.423|-2.423|-2.423|-27.665||
2050003|Energia Eletrica||||||||||-75||||-75||
2050006|NET||-132|-132|-132|-132|-132|-132|-132|-132||-132|-132|-132|-1.452||
2070001|Passeios, ingressos e Alimentaçao||-143|-143|-143|-143|-143|-143|-143|-143|-1.178|-143|-143|-143|-2.751||
2070002|Pacotes CVC||-680|-680|-680|-680|-680|-680|-680|-680|-680|-680|-680|-680|-8.160||
2080003|UOL||-58|-58|-58|-58|-58|-58|-58|-58|-58|-58|-58|-58|-696||
2080004|Spotify||-27|-27|-27|-27|-27|-27|-27|-27|-27|-27|-27|-27|-324||
2090001|Almoço||-489|-489|-489|-489|-489|-489|-489|-489|-394|-489|-489|-489|-5.773||
2090003|Pizza||-364|-364|-364|-364|-364|-364|-364|-364|-270|-364|-364|-364|-4.274||
2090004|Café||||||||||-37||||-37||
2100002|Farmacias, Higiene e Beleza||||||||||-117||||-117||
2100003|Plano de Saude||-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-1.000|-11.275|-1.000|-1.000|-1.000|-22.275||
2100005|Clubes e Academias|||||||||| 392|||| 392||
2110001|Brasil Prev||-593|-593|-593|-593|-593|-593|-593|-593|-593|-593|-593|-593|-7.116||
2110004|BB RF LP Prefixado||||||||||-8.000||||-8.000||
2120001|Mega Sena||-252|-252|-252|-252|-252|-252|-252|-252|-360|-252|-252|-252|-3.132||
||Saldo|-257|-257|-257|-257|-257|-257|-257|-257|-7044|-257|-257|-257|||
